experiment_id,rebalance_date,signal_date,formation_date,model,top_n,eligible_rows,scored_rows,selected_rows,executed,nav_pre,nav_post_cost,gross_trade,turnover
bottleneck_momentum:40,2017-07-03,2017-06-30,2017-06-30,bottleneck_momentum,40,491,235,40,True,23227910.963329703,23188911.00806752,25999970.174788687,1.119341735717658
bottleneck_momentum:40,2017-10-02,2017-09-29,2017-09-30,bottleneck_momentum,40,493,206,40,True,24417551.3449204,24378945.605473343,25737159.631372098,1.054043432439683
bottleneck_momentum:40,2018-01-02,2017-12-29,2017-12-31,bottleneck_momentum,40,492,230,40,True,26267015.34194904,26227227.60451754,26525158.287664454,1.0098276466646423
bottleneck_momentum:40,2018-04-02,2018-03-29,2018-03-31,bottleneck_momentum,40,491,238,40,True,25900634.473950204,25849955.13117989,33786228.51354134,1.3044556320626872
bottleneck_momentum:40,2018-07-02,2018-06-29,2018-06-30,bottleneck_momentum,40,495,241,40,True,27532520.50254432,27488898.948861845,29081035.78831667,1.0562431356631243
bottleneck_momentum:40,2018-10-01,2018-09-28,2018-09-30,bottleneck_momentum,40,496,221,40,True,29343208.267957687,29298954.039111078,29502819.23107359,1.0054394516665786
bottleneck_momentum:40,2019-01-02,2018-12-31,2018-12-31,bottleneck_momentum,40,496,221,40,True,24443179.78651556,24399889.78330402,28860002.141026873,1.1806975357988374
bottleneck_momentum:40,2019-04-01,2019-03-29,2019-03-31,bottleneck_momentum,40,497,227,40,True,28011837.692359164,27965423.587603997,30942736.503445745,1.1046307223137326
bottleneck_momentum:40,2019-07-01,2019-06-28,2019-06-30,bottleneck_momentum,40,493,221,40,True,29070332.61773266,29028401.315064594,27954201.778708667,0.9616058455986444
bottleneck_momentum:40,2019-10-01,2019-09-30,2019-09-30,bottleneck_momentum,40,493,228,40,True,28661882.666332163,28618564.338835876,28878884.997524086,1.0075711122579825
bottleneck_full:10,2009-01-02,2008-12-31,2008-12-31,bottleneck_full,10,409,0,0,False,10000000.0,,,
bottleneck_full:10,2009-04-01,2009-03-31,2009-03-31,bottleneck_full,10,409,0,0,False,10000000.0,,,
bottleneck_full:10,2009-07-01,2009-06-30,2009-06-30,bottleneck_full,10,427,0,0,False,10000000.0,,,
bottleneck_full:10,2009-10-01,2009-09-30,2009-09-30,bottleneck_full,10,437,0,0,False,10000000.0,,,
bottleneck_full:10,2010-01-04,2009-12-31,2009-12-31,bottleneck_full,10,442,0,0,False,10000000.0,,,
bottleneck_full:10,2010-04-01,2010-03-31,2010-03-31,bottleneck_full,10,450,0,0,False,10000000.0,,,
bottleneck_full:10,2010-07-01,2010-06-30,2010-06-30,bottleneck_full,10,450,0,0,False,10000000.0,,,
bottleneck_full:10,2010-10-01,2010-09-30,2010-09-30,bottleneck_full,10,450,42,10,True,10000000.0,9985022.466300549,9985022.466300625,0.9985022466300625
bottleneck_full:10,2011-01-03,2010-12-31,2010-12-31,bottleneck_full,10,453,59,10,True,11136155.87931739,11116116.810455278,13359379.241408337,1.1996401079676
bottleneck_full:10,2011-04-01,2011-03-31,2011-03-31,bottleneck_full,10,455,70,10,True,11369719.179220764,11342456.389701203,18175193.013041493,1.5985612948346495
bottleneck_full:10,2011-07-01,2011-06-30,2011-06-30,bottleneck_full,10,459,61,10,True,11689165.983578043,11664560.168847557,16403876.486990968,1.403340196386685
bottleneck_full:10,2011-10-03,2011-09-30,2011-09-30,bottleneck_full,10,456,71,10,True,10014392.717095805,9993375.102958389,14011742.758277345,1.3991605036976
bottleneck_full:10,2012-01-03,2011-12-30,2011-12-31,bottleneck_full,10,459,74,10,True,11098369.021754403,11074870.062167376,15665973.058017218,1.41155633114286
bottleneck_full:10,2012-04-02,2012-03-30,2012-03-31,bottleneck_full,10,462,88,10,True,11726972.25679765,11709381.798412455,11726972.256797649,0.9999999999999999
